T2M,RH2M,PS,datetime,is_anomaly,anomaly_type,hour,month,T2M_diff,RH2M_diff,PS_diff,T2M_roll_mean,RH2M_roll_mean,PS_roll_mean,T2M_roll_std,RH2M_roll_std,PS_roll_std,T2M_roll_dev,RH2M_roll_dev,PS_roll_dev
24.73,25.67,993.2,2025-11-27 14:00:00,0,normal,14,11,,,,24.73,25.67,993.2,0.0,0.0,0.0,0.0,0.0,0.0
23.9,29.49,993.0,2025-11-27 15:00:00,0,normal,15,11,-0.8300000000000018,3.8199999999999967,-0.20000000000004547,24.314999999999998,27.58,993.1,0.5868986283848344,2.7011479041326103,0.14142135623734164,-0.41499999999999915,1.9100000000000001,-0.10000000000002274
22.1,36.1,993.1,2025-11-27 16:00:00,0,normal,16,11,-1.7999999999999972,6.610000000000003,0.10000000000002274,23.576666666666668,30.42,993.1,1.3444825522606556,5.27682669793125,0.10000000000002274,-1.4766666666666666,5.68,0.0
21.01,32.8,993.3,2025-11-27 17:00:00,0,normal,17,11,-1.0899999999999999,-3.3000000000000043,0.1999999999999318,22.935000000000002,31.015,993.15,1.6887964155970145,4.4698284829137105,0.12909944487357322,-1.9250000000000007,1.7849999999999966,0.14999999999997726
20.33,33.69,993.9,2025-11-27 18:00:00,0,normal,18,11,-0.6800000000000033,0.8900000000000006,0.6000000000000227,22.413999999999998,31.55,993.3,1.8698208470332105,4.051623131536299,0.3535533905932778,-2.0839999999999996,2.139999999999997,0.6000000000000227
19.67,34.7,994.2,2025-11-27 19:00:00,0,normal,19,11,-0.6599999999999966,1.0100000000000051,0.3000000000000682,21.956666666666667,32.074999999999996,993.4499999999999,2.0129348391507005,3.845291926499211,0.4847679857416704,-2.2866666666666653,2.625000000000007,0.7500000000001137
18.96,35.76,994.5,2025-11-27 20:00:00,0,normal,20,11,-0.7100000000000009,1.0599999999999952,0.2999999999999545,20.995,33.75666666666667,993.6666666666666,1.7888180455261466,2.4297544457551066,0.6218252702060018,-2.035,2.0033333333333303,0.8333333333333712
18.18,37.41,994.5,2025-11-27 21:00:00,0,normal,21,11,-0.7800000000000011,1.6499999999999986,0.0,20.041666666666668,35.07666666666667,993.9166666666666,1.4164380207642857,1.685617592061354,0.6013872850891115,-1.8616666666666681,2.3333333333333286,0.5833333333333712
17.31,39.59,994.5,2025-11-27 22:00:00,0,normal,22,11,-0.870000000000001,2.180000000000007,0.0,19.243333333333332,35.65833333333334,994.15,1.3735161690590467,2.5099594950251145,0.4806245936282064,-1.9333333333333336,3.931666666666665,0.35000000000002274
16.19,42.42,994.4,2025-11-27 23:00:00,0,normal,23,11,-1.1199999999999974,2.8299999999999983,-0.10000000000002274,18.439999999999998,37.26166666666666,994.3333333333334,1.53377964519026,3.2749193374290515,0.24221202832846866,-2.2499999999999964,5.1583333333333385,0.06666666666660603
14.62,47.68,994.2,2025-11-28 00:00:00,0,normal,0,11,-1.570000000000002,5.259999999999998,-0.1999999999999318,17.488333333333333,39.593333333333334,994.3833333333333,1.8627229173085884,4.8330183805430265,0.14719601443994906,-2.868333333333334,8.086666666666666,-0.18333333333328028
13.46,52.43,994.1,2025-11-28 01:00:00,0,normal,1,11,-1.1599999999999984,4.75,-0.10000000000002274,16.453333333333333,42.54833333333334,994.3666666666668,2.116087584828805,6.406769596814508,0.17511900715513004,-2.9933333333333323,9.88166666666666,-0.2666666666667652
12.36,57.76,993.8,2025-11-28 02:00:00,0,normal,2,11,-1.1000000000000014,5.329999999999998,-0.3000000000000682,15.353333333333333,46.214999999999996,994.25,2.262791785972937,7.872485630345733,0.27386127875308175,-2.993333333333334,11.545000000000002,-0.4500000000000455
11.59,63.2,993.5,2025-11-28 03:00:00,0,normal,3,11,-0.7699999999999996,5.440000000000005,-0.2999999999999545,14.254999999999997,50.51333333333333,994.0833333333334,2.215208793770897,9.055256300440465,0.37638632635476343,-2.6649999999999974,12.686666666666675,-0.5833333333333712
11.17,67.6,993.4,2025-11-28 04:00:00,0,normal,4,11,-0.41999999999999993,4.3999999999999915,-0.10000000000002274,13.231666666666667,55.18166666666667,993.9000000000001,1.9202439081185927,9.50645342210578,0.4000000000000624,-2.0616666666666674,12.418333333333322,-0.5000000000001137
11.01,70.75,993.7,2025-11-28 05:00:00,0,normal,5,11,-0.16000000000000014,3.1500000000000057,0.3000000000000682,12.368333333333332,59.903333333333336,993.7833333333333,1.4246882699968269,8.917525815307,0.3188521078284617,-1.3583333333333325,10.846666666666664,-0.08333333333325754
10.9,73.38,994.2,2025-11-28 06:00:00,0,normal,6,11,-0.10999999999999943,2.6299999999999955,0.5,11.748333333333335,64.18666666666667,993.7833333333333,0.9928024308323095,7.9967535079347565,0.3188521078284617,-0.8483333333333345,9.193333333333328,0.41666666666674246
12.06,73.18,994.8,2025-11-28 07:00:00,0,normal,7,11,1.1600000000000001,-0.19999999999998863,0.599999999999909,11.515,67.645,993.9000000000001,0.5948024882260263,6.174799591889627,0.5215361924162465,0.5449999999999999,5.535000000000011,0.8999999999998636
15.05,62.02,995.3,2025-11-28 08:00:00,0,normal,8,11,2.99,-11.160000000000004,0.5,11.963333333333333,68.355,994.1500000000001,1.5713136754532955,4.930386394594274,0.7661592523752181,3.086666666666668,-6.335000000000001,1.1499999999998636
17.96,54.32,995.6,2025-11-28 09:00:00,0,normal,9,11,2.91,-7.700000000000003,0.3000000000000682,13.025,66.875,994.5,2.8776014317483045,7.467373701643722,0.8809086218220097,4.9350000000000005,-12.555,1.1000000000000227
22.45,38.74,995.2,2025-11-28 10:00:00,0,normal,10,11,4.489999999999998,-15.579999999999998,-0.39999999999997726,14.905,62.065,994.7999999999998,4.59534873540626,13.645837094147069,0.7238784428345202,7.545,-23.324999999999996,0.40000000000020464
24.39,33.03,994.2,2025-11-28 11:00:00,0,normal,11,11,1.9400000000000013,-5.710000000000001,-1.0,17.135,55.778333333333336,994.8833333333333,5.487129486352582,17.096861017937375,0.587934236685745,7.254999999999999,-22.748333333333335,-0.6833333333332803
46.98042714991526,29.57,992.0,2025-11-28 12:00:00,1,temperature_spike,12,11,22.590427149915257,-3.460000000000001,-2.2000000000000455,23.148404524985875,48.47666666666667,994.5166666666668,12.533563283234143,17.428054012616165,1.3242608000945024,23.832022624929383,-18.906666666666666,-2.516666666666765
23.01,29.57,988.6,2025-11-28 13:00:00,0,normal,13,11,-23.970427149915256,0.0,-3.3999999999999773,24.973404524985877,41.208333333333336,993.4833333333332,11.336081631472002,13.77621634073254,2.730872876328382,-1.9634045249858758,-11.638333333333335,-4.883333333333212
