T2M,RH2M,PS,datetime,is_anomaly,anomaly_type,hour,month,T2M_diff,T2M_roll_mean,T2M_roll_std,T2M_roll_dev,RH2M_diff,RH2M_roll_mean,RH2M_roll_std,RH2M_roll_dev,PS_diff,PS_roll_mean,PS_roll_std,PS_roll_dev
7.6,66.63,995.1,2023-01-01 00:00:00,0,normal,0,1,,,,,,,,,,,,
7.01,68.41,994.9,2023-01-01 01:00:00,0,normal,1,1,-0.5899999999999999,,,,1.7800000000000011,,,,-0.20000000000004547,,,
6.95,68.69,994.9,2023-01-01 02:00:00,0,normal,2,1,-0.05999999999999961,,,,0.28000000000000114,,,,0.0,,,
6.31,70.77,994.6,2023-01-01 03:00:00,0,normal,3,1,-0.6400000000000006,,,,2.0799999999999983,,,,-0.2999999999999545,,,
6.12,71.02,994.5,2023-01-01 04:00:00,0,normal,4,1,-0.1899999999999995,,,,0.25,,,,-0.10000000000002274,,,
6.61,69.17,994.8,2023-01-01 05:00:00,0,normal,5,1,0.4900000000000002,,,,-1.8499999999999943,,,,0.2999999999999545,,,
6.71,67.92,995.4,2023-01-01 06:00:00,0,normal,6,1,0.09999999999999964,,,,-1.25,,,,0.6000000000000227,,,
8.16,67.12,996.0,2023-01-01 07:00:00,0,normal,7,1,1.4500000000000002,,,,-0.7999999999999972,,,,0.6000000000000227,,,
10.93,54.77,996.6,2023-01-01 08:00:00,0,normal,8,1,2.7699999999999996,,,,-12.350000000000001,,,,0.6000000000000227,,,
13.65,49.1,997.4,2023-01-01 09:00:00,0,normal,9,1,2.7200000000000006,,,,-5.670000000000002,,,,0.7999999999999545,,,
17.9,37.18,997.6,2023-01-01 10:00:00,0,normal,10,1,4.249999999999998,,,,-11.920000000000002,,,,0.20000000000004547,,,
19.41,32.75,997.1,2023-01-01 11:00:00,0,normal,11,1,1.5100000000000016,,,,-4.43,,,,-0.5,,,
20.03,31.01,996.5,2023-01-01 12:00:00,0,normal,12,1,0.620000000000001,,,,-1.7399999999999984,,,,-0.6000000000000227,,,
20.21,30.32,995.9,2023-01-01 13:00:00,0,normal,13,1,0.17999999999999972,,,,-0.6900000000000013,,,,-0.6000000000000227,,,
19.82,30.42,995.3,2023-01-01 14:00:00,0,normal,14,1,-0.39000000000000057,,,,0.10000000000000142,,,,-0.6000000000000227,,,
18.88,35.09,995.1,2023-01-01 15:00:00,0,normal,15,1,-0.9400000000000013,,,,4.670000000000002,,,,-0.1999999999999318,,,
17.13,40.8,995.0,2023-01-01 16:00:00,0,normal,16,1,-1.75,,,,5.709999999999994,,,,-0.10000000000002274,,,
15.79,39.57,995.4,2023-01-01 17:00:00,0,normal,17,1,-1.3399999999999999,,,,-1.2299999999999969,,,,0.39999999999997726,,,
14.91,41.61,995.9,2023-01-01 18:00:00,0,normal,18,1,-0.879999999999999,,,,2.039999999999999,,,,0.5,,,
14.3,42.61,996.2,2023-01-01 19:00:00,0,normal,19,1,-0.6099999999999994,,,,1.0,,,,0.3000000000000682,,,
13.73,43.52,996.4,2023-01-01 20:00:00,0,normal,20,1,-0.5700000000000003,,,,0.9100000000000037,,,,0.1999999999999318,,,
13.2,44.23,996.7,2023-01-01 21:00:00,0,normal,21,1,-0.5300000000000011,,,,0.7099999999999937,,,,0.3000000000000682,,,
12.56,46.01,996.7,2023-01-01 22:00:00,0,normal,22,1,-0.6399999999999988,,,,1.7800000000000011,,,,0.0,,,
11.78,48.78,996.7,2023-01-01 23:00:00,0,normal,23,1,-0.7800000000000011,12.904166666666667,5.030626995814189,-1.1241666666666674,2.770000000000003,49.895833333333336,14.846591445050002,-1.1158333333333346,0.0,995.8625000000001,0.9202138220331746,0.8374999999999773
10.41,54.3,996.5,2023-01-02 00:00:00,0,normal,0,1,-1.3699999999999992,13.02125,4.933573810482444,-2.61125,5.519999999999996,49.38208333333333,14.450393699816978,4.91791666666667,-0.20000000000004547,995.9208333333335,0.9141302193730664,0.5791666666665378
9.59,58.03,996.3,2023-01-02 01:00:00,0,normal,1,1,-0.8200000000000003,13.128749999999998,4.823783750741014,-3.5387499999999985,3.730000000000004,48.94958333333333,14.004587285465858,9.080416666666672,-0.20000000000004547,995.9791666666666,0.8905197147277948,0.32083333333332575
9.07,60.9,995.9,2023-01-02 02:00:00,0,normal,2,1,-0.5199999999999996,13.217083333333333,4.724099618990366,-4.147083333333333,2.8699999999999974,48.625,13.61194264639312,12.274999999999999,-0.39999999999997726,996.0208333333334,0.8607272792675951,-0.12083333333339397
8.54,63.8,995.4,2023-01-02 03:00:00,0,normal,3,1,-0.5300000000000011,13.31,4.6027109214121795,-4.770000000000001,2.8999999999999986,48.334583333333335,13.18663683898167,15.465416666666663,-0.5,996.0541666666667,0.8177270548489436,-0.654166666666697
7.81,67.78,995.1,2023-01-02 04:00:00,0,normal,4,1,-0.7299999999999995,13.380416666666667,4.499703834859499,-5.5704166666666675,3.980000000000004,48.19958333333333,12.958912823148827,19.58041666666667,-0.2999999999999545,996.0791666666668,0.7762670801407148,-0.9791666666667425
7.03,72.03,995.8,2023-01-02 05:00:00,0,normal,5,1,-0.7799999999999994,13.397916666666665,4.472965147432397,-6.367916666666665,4.25,48.318749999999994,13.171540899754788,23.711250000000007,0.6999999999999318,996.1208333333334,0.7300858595527606,-0.32083333333343944
5.85,78.03,996.8,2023-01-02 06:00:00,0,normal,6,1,-1.1800000000000006,13.362083333333333,4.531928257583527,-7.512083333333333,6.0,48.74000000000001,13.963537610816815,29.289999999999992,1.0,996.1791666666667,0.7259052319670664,0.6208333333332803
6.73,75.43,997.5,2023-01-02 07:00:00,0,normal,7,1,0.8800000000000008,13.3025,4.611989337820927,-6.5725,-2.5999999999999943,49.08625,14.530632055584597,26.343750000000007,0.7000000000000455,996.2416666666667,0.7728640505158602,1.2583333333333258
9.78,62.01,998.2,2023-01-02 08:00:00,0,normal,8,1,3.049999999999999,13.254583333333334,4.643576188546989,-3.474583333333335,-13.420000000000009,49.38791666666666,14.72758044981582,12.622083333333336,0.7000000000000455,996.3083333333334,0.8682399321099236,1.8916666666666515
12.36,53.93,998.6,2023-01-02 09:00:00,0,normal,9,1,2.58,13.200833333333334,4.64626536952615,-0.8408333333333342,-8.079999999999998,49.58916666666667,14.7564473504227,4.340833333333329,0.39999999999997726,996.3583333333332,0.9631996798112635,2.241666666666788
16.58,40.45,998.5,2023-01-02 10:00:00,0,normal,10,1,4.219999999999999,13.145833333333334,4.595758835639912,3.4341666666666644,-13.479999999999997,49.72541666666667,14.651612755617716,-9.275416666666665,-0.10000000000002274,996.3958333333334,1.0289205684755265,2.1041666666666288
18.41,35.87,997.9,2023-01-02 11:00:00,0,normal,11,1,1.8300000000000018,13.104166666666666,4.540699923701351,5.305833333333334,-4.580000000000005,49.85541666666666,14.507579122401976,-13.985416666666666,-0.6000000000000227,996.4291666666667,1.0650491585579742,1.470833333333303
19.24,33.67,997.1,2023-01-02 12:00:00,0,normal,12,1,0.8299999999999983,13.07125,4.490900280131697,6.168749999999999,-2.1999999999999957,49.96625,14.366824348053614,-16.29625,-0.7999999999999545,996.4541666666665,1.073790185426822,0.6458333333334849
19.49,32.57,996.5,2023-01-02 13:00:00,0,normal,13,1,0.25,13.041249999999998,4.443291291373997,6.44875,-1.1000000000000014,50.06,14.239829627705767,-17.490000000000002,-0.6000000000000227,996.4791666666666,1.0672920494600868,0.02083333333337123
19.15,32.53,996.1,2023-01-02 14:00:00,0,normal,14,1,-0.33999999999999986,13.013333333333334,4.400750594739657,6.136666666666665,-0.03999999999999915,50.14791666666667,14.119303769990765,-17.617916666666666,-0.39999999999997726,996.5125000000002,1.0410331406829134,-0.4125000000001364
18.19,35.6,995.8,2023-01-02 15:00:00,0,normal,15,1,-0.9599999999999973,12.984583333333333,4.362848071741835,5.205416666666668,3.0700000000000003,50.169166666666676,14.096020380934123,-14.569166666666675,-0.3000000000000682,996.5416666666666,1.0090532224799849,-0.7416666666666742
15.49,46.7,996.0,2023-01-02 16:00:00,0,normal,16,1,-2.700000000000001,12.91625,4.3075906838974385,2.5737500000000004,11.100000000000001,50.415,13.976459401125322,-3.7149999999999963,0.20000000000004547,996.5833333333334,0.9621835071593244,-0.5833333333333712
13.96,44.68,996.5,2023-01-02 17:00:00,0,normal,17,1,-1.5299999999999994,12.840000000000002,4.270547261539613,1.1199999999999992,-2.020000000000003,50.627916666666664,13.842343348727411,-5.947916666666664,0.5,996.6291666666667,0.9289915835565942,-0.12916666666671972
13.04,46.0,997.4,2023-01-02 18:00:00,0,normal,18,1,-0.9200000000000017,12.762083333333335,4.248138189808584,0.27791666666666437,1.3200000000000003,50.810833333333335,13.74667166568177,-4.810833333333335,0.8999999999999773,996.6916666666666,0.9282600210430362,0.7083333333333712
12.3,46.87,998.0,2023-01-02 19:00:00,0,normal,19,1,-0.7399999999999984,12.678749999999999,4.2362578979874295,-0.37874999999999837,0.8699999999999974,50.98833333333334,13.663427753349984,-4.118333333333339,0.6000000000000227,996.7666666666665,0.9590151953580791,1.2333333333334622
11.56,47.94,998.4,2023-01-02 20:00:00,0,normal,20,1,-0.7400000000000002,12.588333333333331,4.236002696007135,-1.0283333333333307,1.0700000000000003,51.17250000000001,13.587966623322338,-3.232500000000009,0.39999999999997726,996.85,1.011241165920543,1.5499999999999545
11.0,48.41,998.3,2023-01-02 21:00:00,0,normal,21,1,-0.5600000000000005,12.496666666666664,4.245982926778293,-1.4966666666666644,0.46999999999999886,51.346666666666664,13.52173826832562,-2.9366666666666674,-0.10000000000002274,996.9166666666666,1.0528085282242052,1.3833333333333258
10.03,50.86,998.1,2023-01-02 22:00:00,0,normal,22,1,-0.9700000000000006,12.39125,4.275645196672204,-2.36125,2.450000000000003,51.548750000000005,13.47467360659797,-0.688750000000006,-0.1999999999999318,996.975,1.0787472605638886,1.125
8.75,55.43,997.9,2023-01-02 23:00:00,0,normal,23,1,-1.2799999999999994,12.265,4.338747565229235,-3.5150000000000006,4.57,51.82583333333333,13.483633530632828,3.6041666666666714,-0.20000000000004547,997.025,1.093160555453861,0.875
7.94,58.08,997.3,2023-01-03 00:00:00,0,normal,0,1,-0.8099999999999996,12.162083333333333,4.413315798872738,-4.222083333333333,2.6499999999999986,51.98333333333334,13.535766362289682,6.096666666666657,-0.6000000000000227,997.0583333333333,1.088643618240805,0.24166666666667425
7.16,60.59,996.7,2023-01-03 01:00:00,0,normal,1,1,-0.7800000000000002,12.060833333333333,4.501875857004951,-4.900833333333333,2.510000000000005,52.09,13.595443290340688,8.5,-0.599999999999909,997.0749999999999,1.0795530476122477,-0.3749999999998863
6.24,64.19,996.3,2023-01-03 02:00:00,0,normal,2,1,-0.9199999999999999,11.942916666666667,4.61915527678108,-5.702916666666667,3.5999999999999943,52.22708333333333,13.704287960871694,11.962916666666665,-0.40000000000009095,997.0916666666666,1.0635938529618199,-0.7916666666666288
5.48,66.94,996.2,2023-01-03 03:00:00,0,normal,3,1,-0.7599999999999998,11.815416666666666,4.757332993405542,-6.335416666666665,2.75,52.357916666666675,13.833952240825806,14.582083333333323,-0.09999999999990905,997.125,1.0199104820054272,-0.9249999999999545
4.96,68.49,996.1,2023-01-03 04:00:00,0,normal,4,1,-0.5200000000000005,11.696666666666665,4.895232522493223,-6.7366666666666655,1.5499999999999972,52.387499999999996,13.86908017074704,16.1025,-0.10000000000002274,997.1666666666666,0.9517337345337096,-1.066666666666606
4.57,69.27,996.4,2023-01-03 05:00:00,0,normal,5,1,-0.3899999999999997,11.594166666666666,5.0213257531094895,-7.024166666666666,0.7800000000000011,52.2725,13.709652978197834,16.997499999999995,0.2999999999999545,997.1916666666666,0.9216793117041291,-0.7916666666666288
4.11,70.63,997.2,2023-01-03 06:00:00,0,normal,6,1,-0.45999999999999996,11.521666666666667,5.119470647454181,-7.411666666666666,1.3599999999999994,51.964166666666664,13.178082567085683,18.66583333333333,0.8000000000000682,997.2083333333334,0.9178977240870958,-0.008333333333325754
5.93,66.55,998.0,2023-01-03 07:00:00,0,normal,7,1,1.8199999999999994,11.488333333333332,5.154510617909806,-5.558333333333332,-4.079999999999998,51.594166666666666,12.602688435294333,14.95583333333333,0.7999999999999545,997.2291666666666,0.9303945711208916,0.7708333333333712
8.99,52.91,998.8,2023-01-03 08:00:00,0,normal,8,1,3.0600000000000005,11.455416666666666,5.168398102824062,-2.465416666666666,-13.64,51.215,12.411127195419022,1.6949999999999932,0.7999999999999545,997.2541666666666,0.9650317258433871,1.5458333333333485
11.81,46.74,999.5,2023-01-03 09:00:00,0,normal,9,1,2.8200000000000003,11.4325,5.165431292233264,0.3775000000000013,-6.169999999999995,50.915416666666665,12.429505911746654,-4.1754166666666634,0.7000000000000455,997.2916666666666,1.034583161877665,2.2083333333333712
16.42,34.83,999.3,2023-01-03 10:00:00,0,normal,10,1,4.610000000000001,11.425833333333335,5.158597649569593,4.994166666666667,-11.910000000000004,50.68125,12.685544430571362,-15.85125,-0.20000000000004547,997.3249999999999,1.0867782462498647,1.9750000000000227
18.1,32.75,998.5,2023-01-03 11:00:00,0,normal,11,1,1.6799999999999997,11.412916666666668,5.140706667009107,6.687083333333334,-2.0799999999999983,50.55125,12.858732208959763,-17.801250000000003,-0.7999999999999545,997.3499999999999,1.1072881090854048,1.150000000000091
18.84,31.6,997.3,2023-01-03 12:00:00,0,normal,12,1,0.7399999999999984,11.39625,5.114810390042524,7.44375,-1.1499999999999986,50.464999999999996,12.983225967445042,-18.864999999999995,-1.2000000000000455,997.3583333333335,1.106076759136382,-0.05833333333350765
19.05,30.95,996.7,2023-01-03 13:00:00,0,normal,13,1,0.21000000000000085,11.377916666666666,5.085241201723882,7.672083333333335,-0.6500000000000021,50.3975,13.084126542926144,-19.4475,-0.599999999999909,997.3666666666667,1.1000658741804608,-0.6666666666666288
18.37,32.05,996.2,2023-01-03 14:00:00,0,normal,14,1,-0.6799999999999997,11.345416666666667,5.035660639847581,7.024583333333334,1.0999999999999979,50.3775,13.112960813803568,-18.3275,-0.5,997.3708333333333,1.0952383765415934,-1.1708333333332348
17.03,37.25,996.1,2023-01-03 15:00:00,0,normal,15,1,-1.3399999999999999,11.297083333333333,4.97227660146228,5.732916666666668,5.200000000000003,50.44625,13.036216046243938,-13.19625,-0.10000000000002274,997.3833333333333,1.078108918699726,-1.283333333333303
13.09,53.84,996.6,2023-01-03 16:00:00,0,normal,16,1,-3.9400000000000013,11.197083333333333,4.908002763160225,1.8929166666666664,16.590000000000003,50.74375,13.028474438538545,3.096250000000005,0.5,997.4083333333333,1.0512587348205051,-0.8083333333332803
10.29,58.85,997.1,2023-01-03 17:00:00,0,normal,17,1,-2.8000000000000007,11.044166666666667,4.87523994206989,-0.7541666666666682,5.009999999999998,51.33416666666667,13.062762180989957,7.515833333333333,0.5,997.4333333333333,1.035738202051354,-0.33333333333325754
9.22,60.26,997.7,2023-01-03 18:00:00,0,normal,18,1,-1.0699999999999985,10.885,4.869601358561535,-1.6649999999999991,1.4099999999999966,51.928333333333335,13.133704953176824,8.331666666666663,0.6000000000000227,997.4458333333333,1.0371277924977114,0.2541666666667197
8.21,61.03,998.2,2023-01-03 19:00:00,0,normal,19,1,-1.0099999999999998,10.714583333333332,4.889455361477806,-2.504583333333331,0.7700000000000031,52.518333333333324,13.214395860992454,8.511666666666677,0.5,997.4541666666668,1.0425633821486646,0.7458333333332803
7.23,61.5,998.4,2023-01-03 20:00:00,0,normal,20,1,-0.9800000000000004,10.534166666666666,4.936563596767242,-3.3041666666666654,0.46999999999999886,53.08333333333332,13.299744576385722,8.416666666666679,0.1999999999999318,997.4541666666668,1.0425633821486646,0.9458333333332121
6.31,62.34,998.4,2023-01-03 21:00:00,0,normal,21,1,-0.9200000000000008,10.33875,5.009609298746455,-4.02875,0.8400000000000034,53.66375,13.390578067367398,8.676250000000003,0.0,997.4583333333334,1.0462839695454096,0.941666666666606
5.45,63.67,998.2,2023-01-03 22:00:00,0,normal,22,1,-0.8599999999999994,10.147916666666667,5.108146927823424,-4.697916666666667,1.3299999999999983,54.19749999999999,13.528554423241554,9.47250000000001,-0.1999999999999318,997.4625,1.0491456151265641,0.7375000000000682
4.65,65.42,997.8,2023-01-03 23:00:00,0,normal,23,1,-0.7999999999999998,9.977083333333333,5.22417164573083,-5.3270833333333325,1.75,54.61375,13.720451511299217,10.806249999999999,-0.40000000000009095,997.4583333333334,1.0475298757457354,0.3416666666665833
3.94,67.55,997.3,2023-01-04 00:00:00,0,normal,0,1,-0.7100000000000004,9.810416666666667,5.354174705345569,-5.870416666666667,2.1299999999999955,55.008333333333326,13.958577125277444,12.541666666666671,-0.5,997.4583333333334,1.0475298757457354,-0.1583333333334167
3.34,69.62,997.0,2023-01-04 01:00:00,0,normal,1,1,-0.6000000000000001,9.65125,5.491411723536244,-6.311249999999999,2.0700000000000074,55.38458333333333,14.234543708930369,14.235416666666673,-0.2999999999999545,997.4708333333333,1.0398491390024918,-0.470833333333303
2.86,71.16,996.8,2023-01-04 02:00:00,0,normal,2,1,-0.48,9.510416666666668,5.624431549376629,-6.650416666666668,1.539999999999992,55.67499999999999,14.490800079930768,15.485000000000007,-0.20000000000004547,997.4916666666668,1.0201946390024954,-0.6916666666668334
